"student_id","minutes_watched","paid_in_q2"
"9","0.13","0"
"16","4.00","0"
"19","4.90","0"
"20","0.73","0"
"21","0.17","0"
"66","1.43","0"
"132","143.83","0"
"213","17.30","0"
"480","5.77","0"
"548","0.23","0"
"560","2.73","0"
"563","0.60","0"
"606","36.23","0"
"609","1.13","0"
"612","0.10","0"
"615","37.87","0"
"665","5.07","0"
"675","5.37","0"
"696","15.53","0"
"767","0.10","0"
"777","0.10","0"
"818","153.00","0"
"857","38.97","0"
"895","36.90","0"
"902","69.23","0"
"1020","1.67","0"
"1067","0.53","0"
"1075","8.53","0"
"1151","244.70","0"
"1233","33.53","0"
"1251","10.10","0"
"1252","0.73","0"
"1258","6.43","0"
"1290","0.20","0"
"1307","11.00","0"
"1395","267.03","0"
"1414","120.20","0"
"1476","71.90","0"
"1481","60.10","0"
"1496","41.67","0"
"1516","12.83","0"
"1543","16.37","0"
"1571","155.20","0"
"1576","1.20","0"
"1612","0.73","0"
"1613","5.50","0"
"1762","1.00","0"
"1791","353.97","0"
"1805","0.87","0"
"1843","55.53","0"
"1876","0.07","0"
"1882","22.60","0"
"1883","1.67","0"
"1946","12.97","0"
"1965","27.33","0"
"1967","0.13","0"
"1986","0.13","0"
"2000","119.40","0"
"2058","0.83","0"
"2125","0.27","0"
"2147","210.73","0"
"2185","1931.70","0"
"2247","0.90","0"
"2252","2.83","0"
"2389","4.17","0"
"2418","1.13","0"
"2454","10.77","0"
"2462","14.43","0"
"2495","0.37","0"
"2520","2.73","0"
"2539","0.73","0"
"2549","80.43","0"
"2582","3155.03","0"
"2608","12.20","0"
"2622","31.73","0"
"2639","6.93","0"
"2644","314.33","0"
"2746","41.07","0"
"2788","89.73","0"
"2802","52.70","0"
"2844","1.77","0"
"2897","0.87","0"
"2901","1.40","0"
"2965","903.27","0"
"2979","73.80","0"
"2984","1296.50","0"
"3008","23.90","0"
"3030","100.40","0"
"3059","74.00","0"
"3075","233.93","0"
"3107","54.87","0"
"3129","0.37","0"
"3152","0.17","0"
"3166","1.20","0"
"3182","0.27","0"
"3227","6.00","0"
"3231","0.50","0"
"3258","5.00","0"
"3271","1.90","0"
"3304","26.70","0"
"3315","11.03","0"
"3337","52.30","0"
"3437","202.70","0"
"3469","15.97","0"
"3495","0.17","0"
"3569","70.40","0"
"3670","5.33","0"
"3711","16.27","0"
"3732","0.20","0"
"3761","18.37","0"
"3776","3.83","0"
"3808","0.10","0"
"3825","0.70","0"
"3837","38.33","0"
"3878","4.07","0"
"3894","0.37","0"
"3947","0.60","0"
"3993","8.73","0"
"4016","42.40","0"
"4028","0.40","0"
"4029","0.10","0"
"4032","2.40","0"
"4033","0.27","0"
"4150","9.07","0"
"4232","0.43","0"
"4240","0.23","0"
"4264","0.53","0"
"4335","0.50","0"
"4419","1.93","0"
"4584","0.37","0"
"4648","66.23","0"
"4682","1.77","0"
"4765","8.97","0"
"4808","2.13","0"
"4818","67.17","0"
"4843","1189.77","0"
"4847","67.20","0"
"4875","1.93","0"
"4881","5.13","0"
"4892","5.50","0"
"4928","0.70","0"
"4933","0.10","0"
"4942","67.93","0"
"4945","1.57","0"
"5016","24.10","0"
"5033","2.23","0"
"5069","13.17","0"
"5094","2367.83","0"
"5103","118.33","0"
"5225","0.13","0"
"5260","413.93","0"
"5287","5.80","0"
"5331","2.37","0"
"5377","0.20","0"
"5400","6.67","0"
"5444","1.20","0"
"5472","0.73","0"
"5538","0.27","0"
"5548","27.27","0"
"5549","0.77","0"
"5592","0.27","0"
"5683","13.13","0"
"5750","0.77","0"
"5879","0.23","0"
"5882","9.43","0"
"5888","315.60","0"
"5891","14.67","0"
"5902","1.10","0"
"5952","316.63","0"
"6012","12.90","0"
"6033","0.17","0"
"6111","36.40","0"
"6175","0.70","0"
"6204","0.50","0"
"6254","0.30","0"
"6260","0.77","0"
"6336","11.47","0"
"6362","51.77","0"
"6368","84.03","0"
"6381","0.63","0"
"6403","0.37","0"
"6426","0.23","0"
"6452","6.40","0"
"6453","39.47","0"
"6583","24.23","0"
"6598","70.33","0"
"6608","31.63","0"
"6617","0.57","0"
"6619","18.23","0"
"6660","0.63","0"
"6691","1.70","0"
"6715","65.77","0"
"6741","65.93","0"
"6758","0.67","0"
"6764","0.23","0"
"6772","0.23","0"
"6780","4.40","0"
"6813","0.50","0"
"6864","12.03","0"
"6865","6.60","0"
"7050","2.17","0"
"7201","0.20","0"
"7248","24.47","0"
"7316","0.13","0"
"7334","306.00","0"
"7351","1.37","0"
"7374","48.20","0"
"7395","2.40","0"
"7400","19.00","0"
"7414","26.40","0"
"7421","0.97","0"
"7455","0.20","0"
"7584","2.40","0"
"7588","17.27","0"
"7622","2.40","0"
"7666","0.53","0"
"7690","143.67","0"
"7708","0.53","0"
"7746","1.57","0"
"7909","0.17","0"
"8032","614.47","0"
"8083","0.27","0"
"8086","0.10","0"
"8197","0.60","0"
"8275","125.30","0"
"8335","51.50","0"
