student_id,minutes_watched,paid_in_q2
6,162.07,1
221,938.13,1
516,92.53,1
520,182.37,1
523,2644.5,1
594,7.47,1
603,16.37,1
608,775.37,1
614,1348.8,1
616,2206.9,1
618,1092.7,1
659,2675.2,1
666,665.8,1
691,999.03,1
698,71.97,1
699,0.27,1
702,193.83,1
709,4.6,1
778,403.2,1
782,67.83,1
800,964.47,1
801,666.83,1
804,1028.13,1
805,96.93,1
810,380.33,1
829,302.7,1
830,0.7,1
832,716.37,1
838,1015.63,1
840,2244.27,1
841,2597.77,1
842,579.17,1
851,750.73,1
854,13.7,1
862,1957.83,1
863,1249.87,1
865,2076.87,1
869,351.73,1
870,1021.9,1
872,13.43,1
875,710.33,1
876,4.27,1
882,2161.37,1
893,740.23,1
894,0.13,1
900,566.63,1
903,282.7,1
908,4556.03,1
911,1756.13,1
916,678.13,1
928,198.1,1
930,319.03,1
933,1435.03,1
936,759.73,1
956,3.83,1
959,24.6,1
961,652.27,1
965,2251.6,1
969,115.6,1
973,87.4,1
977,1.2,1
982,77.7,1
985,115.57,1
986,0.13,1
987,299.2,1
988,728.57,1
991,3280.93,1
994,561.93,1
998,13.27,1
999,235.83,1
1002,2789.03,1
1006,32.67,1
1008,946.0,1
1010,9.87,1
1014,383.67,1
1015,2052.6,1
1016,112.37,1
1018,342.23,1
1019,17.17,1
1029,125.3,1
1033,0.1,1
1034,215.5,1
1035,2899.53,1
1040,0.17,1
1042,807.77,1
1045,164.5,1
1046,1799.13,1
1052,68.67,1
1056,50.67,1
1057,2150.27,1
1063,3734.67,1
1064,54.17,1
1066,750.63,1
1073,10.07,1
1081,906.7,1
1086,1789.7,1
1091,92.9,1
1099,0.57,1
1102,1967.63,1
1105,5.8,1
1116,0.23,1
1119,146.5,1
1125,22.77,1
1127,866.87,1
1128,2005.03,1
1132,279.73,1
1140,275.2,1
1143,42.03,1
1145,1314.7,1
1155,18.27,1
1158,9.17,1
1165,81.37,1
1166,677.63,1
1169,99.3,1
1173,974.8,1
1175,70.5,1
1183,2666.07,1
1187,126.8,1
1188,70.8,1
1190,248.27,1
1196,238.47,1
1197,3516.57,1
1201,400.23,1
1207,368.2,1
1209,12.93,1
1211,1230.2,1
1212,84.03,1
1214,72.17,1
1215,3085.43,1
1216,0.37,1
1224,39.77,1
1226,25.67,1
1235,5.5,1
1238,101.6,1
1242,106.77,1
1244,52.07,1
1246,2950.47,1
1249,24.47,1
1253,0.3,1
1257,4.13,1
1259,1519.83,1
1266,455.23,1
1271,81.1,1
1272,468.0,1
1283,0.67,1
1284,1172.97,1
1292,67.87,1
1294,3.5,1
1299,111.13,1
1306,137.87,1
1308,777.5,1
1313,1.1,1
1317,1552.83,1
1323,121.0,1
1324,181.4,1
1327,320.93,1
1330,216.2,1
1331,202.77,1
1336,19.3,1
1347,59.87,1
1350,3388.0,1
1353,794.7,1
1355,464.8,1
1357,285.43,1
1363,1531.53,1
1369,9.9,1
1374,438.83,1
1375,57.57,1
1379,6287.83,1
1382,34.3,1
1388,174.37,1
1389,133.33,1
1393,0.1,1
1397,5958.0,1
1419,407.23,1
1424,273.47,1
1426,331.17,1
1428,679.67,1
1434,3381.2,1
1437,637.8,1
1459,190.43,1
1461,15.6,1
1463,14.5,1
1465,94.9,1
1468,21.87,1
1471,0.1,1
1473,97.73,1
1482,709.33,1
1491,5188.73,1
1494,403.87,1
1498,65.23,1
1500,1642.8,1
1501,1700.07,1
1502,1.27,1
1504,2145.9,1
1513,544.6,1
1522,393.9,1
1531,5.4,1
1532,4.43,1
1535,1662.4,1
1537,0.27,1
1538,383.13,1
1542,4015.93,1
1544,53.4,1
1550,790.97,1
1553,166.3,1
1561,1100.9,1
1567,1843.1,1
1587,187.83,1
1588,11.37,1
1595,205.33,1
1598,131.4,1
1600,67.1,1
1605,347.8,1
1606,11.17,1
1615,6.87,1
1633,26.3,1
1638,1413.8,1
1644,270.13,1
1649,7.9,1
1651,143.47,1
1652,644.9,1
